y,date,topic
0.834668803418803,1,1
0.925179332156076,2,1
0.899852063298479,3,1
0.903323027863657,4,1
0.912441535982392,5,1
0.892875606478167,6,1
0.882359794935529,7,1
0.933280001013556,8,1
0.936213074005901,9,1
0.909886482378645,10,1
0.908326741179562,11,1
0.931635471775544,12,1
0.91132827506723,13,1
0.931348509073559,14,1
0.920472070866393,15,1
0.933848582536463,16,1
0.915867674362286,17,1
0.929709931532062,18,1
0.893286103780551,19,1
0.93315422441636,20,1
1,1,2
0.76342001216545,2,2
0.888586408550111,3,2
0.84217552026287,4,2
0.864568965517241,5,2
0.880503144654088,6,2
0.688552188552189,7,2
0.8982846363078,8,2
0.808332756352558,9,2
0.829297820823245,10,2
0.870639820465344,11,2
0.833519796134005,12,2
0.839963078343141,13,2
0.69781170100767,14,2
0.892816465425681,15,2
0.814343292175805,16,2
0.906305451659748,17,2
0.839435812531839,18,2
0.909939623716593,19,2
0.867793165738371,20,2
0.897315976263345,1,3
0.872077916259733,2,3
0.758164762198888,3,3
0.783105320304017,4,3
0.75384703196347,5,3
0.83190686738955,6,3
0.893798449612403,7,3
0.812929596015636,8,3
0.718864674895459,9,3
0.798907717112959,10,3
0.812134990631997,11,3
0.871665686299583,12,3
0.847740236946029,13,3
0.885488795518207,14,3
0.821220460257259,15,3
0.754277685341117,16,3
0.858606200259474,17,3
0.854971218363647,18,3
0.775608326570571,19,3
0.824885529670892,20,3
0.732653639195695,1,4
0.717102731819931,2,4
0.722326153188305,3,4
0.620180792706482,4,4
0.800950659962288,5,4
0.737240093777624,6,4
0.64201554879521,7,4
0.735558039760711,8,4
0.774103734320733,9,4
0.716320029017643,10,4
0.832092676317913,11,4
0.721699134199134,12,4
0.823723211654246,13,4
0.735910270671116,14,4
0.735483870967742,15,4
0.748100622158411,16,4
0.773668323460657,17,4
0.701094626690992,18,4
0.783317759369633,19,4
0.741103536110279,20,4
0.848571428571429,1,5
0.827344022307424,2,5
0.957165400565158,3,5
0.922556925996205,4,5
0.829381342701015,5,5
0.901746422650378,6,5
0.858025346927216,7,5
0.901614210644007,8,5
0.797360150848523,9,5
0.908724388088535,10,5
0.835497835497836,11,5
0.880847156058084,12,5
0.910737053002246,13,5
0.869936978368251,14,5
0.942805247357599,15,5
0.864485756254967,16,5
0.880119171474511,17,5
0.896322288953371,18,5
0.874046403956437,19,5
0.863020111513786,20,5
0.896677872382949,1,6
0.905644663606388,2,6
0.892610375736395,3,6
0.896695855699404,4,6
0.896607969161908,5,6
0.906450720577048,6,6
0.908641120284164,7,6
0.881736550210094,8,6
0.924619346179386,9,6
0.889698011202092,10,6
0.901407523100051,11,6
0.909915957908375,12,6
0.900029513542329,13,6
0.942610413836696,14,6
0.917849629226102,15,6
0.913528811399192,16,6
0.900411859598429,17,6
0.920617184253393,18,6
0.905223071985923,19,6
0.941842970912455,20,6
0.644444444444445,1,7
0.768916155419223,2,7
0.743928448572411,3,7
0.715119228817859,4,7
0.542025862068966,5,7
0.674091233071989,6,7
0.846667930609537,7,7
0.783094772403983,8,7
0.732631578947368,9,7
0.856212327435349,10,7
0.672057033559381,11,7
0.75135757775218,12,7
0.762238895699736,13,7
0.898353961975246,14,7
0.766666666666667,15,7
0.606203007518797,16,7
0.800637659414854,17,7
0.819879316124707,18,7
0.697838531385709,19,7
0.708856682769726,20,7
0.728860294117647,1,8
0.896222034189675,2,8
0.879257511374573,3,8
0.71927595687006,4,8
0.807112003839522,5,8
0.786821986449799,6,8
0.806565202262497,7,8
0.809791439056503,8,8
0.80087994825205,9,8
0.807708245865617,10,8
0.87188154637212,11,8
0.866669117106521,12,8
0.886230928696604,13,8
0.841111131612451,14,8
0.848385385471036,15,8
0.862396726071929,16,8
0.862872461078462,17,8
0.885346358044947,18,8
0.773785859289823,19,8
0.85522371994436,20,8
0.92250387480626,1,9
0.909624386214492,2,9
0.922958664823804,3,9
0.916939046669988,4,9
0.92402427540023,5,9
0.882794340306656,6,9
0.920361705288176,7,9
0.843279380717804,8,9
0.939533792240301,9,9
0.89516393442623,10,9
0.885705562057911,11,9
0.945740450026164,12,9
0.914255838271175,13,9
0.941133720930232,14,9
0.933452707507874,15,9
0.900786103714974,16,9
0.871073816032581,17,9
0.930985173055786,18,9
0.950641789069737,19,9
0.890552197683309,20,9
0.854938271604938,1,10
0.866888907762867,2,10
0.878754376266814,3,10
0.895250479090771,4,10
0.809468602053093,5,10
0.898839559332402,6,10
0.920251503553855,7,10
0.912726462843095,8,10
0.939418828049952,9,10
0.911540436249738,10,10
0.88913461835077,11,10
0.876285194558684,12,10
0.853247333508999,13,10
0.883764705882353,14,10
0.867501092583877,15,10
0.913636286684104,16,10
0.928955417063249,17,10
0.918906982505197,18,10
0.906826837750991,19,10
0.910685405799412,20,10
0.710164835164835,1,11
0.86155152660248,2,11
0.768692116557488,3,11
0.825809939876292,4,11
0.80273543941072,5,11
0.820113763413594,6,11
0.900732638530595,7,11
0.705668789808917,8,11
0.746847671344316,9,11
0.811562420544114,10,11
0.810109838590851,11,11
0.931045820361907,12,11
0.825412919146804,13,11
0.91277885027885,14,11
0.847491710167767,15,11
0.916480918608578,16,11
0.805226946032573,17,11
0.768665108117413,18,11
0.805597835278201,19,11
0.776618799939695,20,11
0.723963536463537,1,12
0.765483058152642,2,12
0.795099333915187,3,12
0.700612117094255,4,12
0.698820216238655,5,12
0.859749015639779,6,12
0.763287990997491,7,12
0.789593005867609,8,12
0.835594637900021,9,12
0.827222417305979,10,12
0.846165841980595,11,12
0.797915177801326,12,12
0.757746446984546,13,12
0.785798907471911,14,12
0.78782611901583,15,12
0.78386180674537,16,12
0.862733274504036,17,12
0.860685891389301,18,12
0.770158308786986,19,12
0.803954559255136,20,12
0.837171052631579,1,13
0.884362817767529,2,13
0.956644473709882,3,13
0.760649087221095,4,13
0.842424242424242,5,13
0.795749885338633,6,13
0.750422025723473,7,13
0.734157575757576,8,13
0.872194278110446,9,13
0.818987720874513,10,13
0.878233585100707,11,13
0.957598318978935,12,13
0.795213293650794,13,13
0.87986743993372,14,13
0.854599141016464,15,13
0.861848827293749,16,13
0.740642791198646,17,13
0.838681573529777,18,13
0.856106701940035,19,13
0.775412796697626,20,13
0.763189791091841,1,14
0.749388948296693,2,14
0.765838724806774,3,14
0.815115531381106,4,14
0.722792665322097,5,14
0.66220646178093,6,14
0.799329978916325,7,14
0.753509861729794,8,14
0.70029086144361,9,14
0.841464865829714,10,14
0.758244206773619,11,14
0.876550387596899,12,14
0.761752420947778,13,14
0.731955280845746,14,14
0.750528138253093,15,14
0.782218630215791,16,14
0.746550210123565,17,14
0.781189340019411,18,14
0.776082658808609,19,14
0.793038739827863,20,14
0.809751773049645,1,15
0.887345488156533,2,15
0.799590270551509,3,15
0.74237314632839,4,15
0.863453882688145,5,15
0.874275315408629,6,15
0.908568549633421,7,15
0.873200133693138,8,15
0.821456653791983,9,15
0.855550366010497,10,15
0.834043427850738,11,15
0.858323494687131,12,15
0.807119832233054,13,15
0.800345295350845,14,15
0.756052427916576,15,15
0.839037089037089,16,15
0.875650448585231,17,15
0.789612930807682,18,15
0.831234152221807,19,15
0.821256304111563,20,15
0.870727726574501,1,16
0.925811131627539,2,16
0.943691731084563,3,16
0.871531564279656,4,16
0.894370629370629,5,16
0.8772527100271,6,16
0.79838961851157,7,16
0.85889284020863,8,16
0.91670124997925,9,16
0.908593060473623,10,16
0.911108130762783,11,16
0.901321222130471,12,16
0.816177093630843,13,16
0.826655815700513,14,16
0.895490867579909,15,16
0.861943164362519,16,16
0.880130714034824,17,16
0.893120773632194,18,16
0.924528301886792,19,16
0.791666666666667,20,16
0.875,1,17
0.843253968253968,2,17
0.894540229885057,3,17
0.865407319952775,4,17
0.804477611940299,5,17
0.739801864801865,6,17
0.778567091681846,7,17
0.938734516237027,8,17
0.912407094979709,9,17
0.893609022556391,10,17
